c,i,id,l1_c,l1_i,language,type,code,l2_sim_cc_5,l2_sim_cc_10,l2_sim_cc_25,l2_sim_cc_50,l2_sim_cc_75,l2_sim_cc_100,l1_sim_cc_5,l1_sim_cc_10,l1_sim_cc_25,l1_sim_cc_50,l1_sim_cc_75,l1_sim_cc_100,l2_sim_wiki_5,l2_sim_wiki_10,l2_sim_wiki_25,l2_sim_wiki_50,l2_sim_wiki_75,l2_sim_wiki_100
catch,achieve,person_2132,atrapar,aconseguir,Catalan,RV,ca,0.128126859664917,0.12000373750925065,0.10145366191864014,0.10444144904613496,0.12045682221651074,0.12040624022483826,0.4839023053646088,0.4694525599479675,0.4487409889698029,0.4402937889099121,0.4365678429603577,0.4315135180950165,0.07311846315860748,0.09178872406482697,0.09678420424461365,0.08877262473106384,0.10082513839006424,0.1006297916173935
organise,prepare,person_2132,organitzar,preparar,Catalan,RV,ca,0.3100088238716125,0.30137720704078674,0.2711850106716156,0.26524364948272705,0.2664849758148193,0.27022314071655273,0.5818263292312622,0.5860499143600464,0.5726567506790161,0.5534281730651855,0.5462121367454529,0.5380535721778871,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
useful,profitable,person_1349,útil,rendible,Catalan,RJ,ca,0.2680617570877075,0.2421391159296036,0.23431159555912015,0.21699246764183044,0.21345895528793332,0.21348679065704346,0.39587944746017456,0.4021760821342468,0.4167979955673218,0.4178534746170044,0.42709165811538696,0.418638288974762,0.20929989218711853,0.21031804382801056,0.1905480921268463,0.18607689440250397,0.1880437433719635,0.18618465960025787
invite,offer,person_1349,convidar,oferir,Catalan,RV,ca,0.3684406578540802,0.3330797553062439,0.2999287843704224,0.28940391540527344,0.2729560136795044,0.2771205604076385,0.5470288991928101,0.5404398441314697,0.5320951938629149,0.5260665416717529,0.5153434276580809,0.5075258612632751,0.24177274107933044,0.24261057376861572,0.21824908256530762,0.20570974051952362,0.19791173934936523,0.19355712831020355
ask,recommend,person_1349,preguntar,recomanar,Catalan,RV,ca,0.3637067079544067,0.3318985104560852,0.32000380754470825,0.3079507350921631,0.293903648853302,0.28739821910858154,0.4443687200546265,0.44035452604293823,0.4075186848640442,0.3997945785522461,0.399225652217865,0.3989444077014923,0.3196544647216797,0.3074626326560974,0.2795974612236023,0.27769991755485535,0.27619537711143494,0.27575981616973877
thrilled,amazed,person_1349,emocionat,sorprès,Catalan,RJ,ca,0.5732536911964417,0.5495057106018066,0.5309459567070007,0.5124518275260925,0.4956270456314087,0.4806841909885407,0.4776214361190796,0.4837663173675537,0.5140388607978821,0.487267017364502,0.479734480381012,0.4740582704544067,0.49914291501045227,0.4861152172088623,0.46827882528305054,0.4467654526233673,0.441872775554657,0.4292543828487396
sincerely,faithfully,person_1349,sincerament,fidelment,Catalan,RY,ca,0.34077179431915283,0.32544708251953125,0.3217964768409729,0.2979416847229004,0.2894834578037262,0.2768603563308716,0.2751428782939911,0.27590692043304443,0.2895409464836121,0.2899819612503052,0.2891799211502075,0.28911322355270386,0.33496326208114624,0.308074027299881,0.2708606719970703,0.2648465633392334,0.26764702796936035,0.2606129050254822
especially,specially,person_1349,especialment,especialment,Catalan,RY,ca,0.3421987891197205,0.3366724848747253,0.2956363558769226,0.2686932384967804,0.2626763582229614,0.2625589668750763,0.8270228505134583,0.7514426708221436,0.6767886281013489,0.6352691650390625,0.6150892376899719,0.602047324180603,0.15365742146968842,0.15379394590854645,0.1389886736869812,0.12332379817962646,0.1122138649225235,0.10656371712684631
actor,character,person_1826,actor,caràcter,Catalan,RN,ca,0.4227777719497681,0.4070366322994232,0.3687728047370911,0.3429889678955078,0.32668426632881165,0.3154010772705078,0.2295271456241608,0.2336466610431671,0.24239493906497955,0.25501179695129395,0.2641641199588776,0.2665989100933075,0.40516728162765503,0.37971964478492737,0.3443579375743866,0.33859503269195557,0.3313913345336914,0.3357216417789459
would,should,person_1349,vols,hauria,Catalan,RV,ca,0.6448183655738831,0.6456886529922485,0.5800858736038208,0.5456504821777344,0.5286440849304199,0.526125431060791,0.3292457461357117,0.32962948083877563,0.3033053278923035,0.3048263192176819,0.30508095026016235,0.29791027307510376,0.6565874218940735,0.645989179611206,0.543056845664978,0.4634038209915161,0.4341769814491272,0.40757253766059875
had,spent,person_1305,havia,gastat,Catalan,RV,ca,0.3048818111419678,0.29782530665397644,0.2719617486000061,0.2682050466537476,0.27335262298583984,0.27408504486083984,0.3105123043060303,0.2965960204601288,0.3021699786186218,0.2793085277080536,0.27468818426132197,0.2767255902290344,0.08043169975280762,0.10227087140083313,0.09705567359924316,0.1184287965297699,0.12421904504299164,0.12433818727731705
difficult,hard,person_1305,difícil,dur,Catalan,RJ,ca,0.5845456123352051,0.5270010232925415,0.4601329565048218,0.4375099539756775,0.4285516142845154,0.4103453159332275,0.4311602711677551,0.41459500789642334,0.3934122025966644,0.3848101496696472,0.37907418608665466,0.3806396126747131,0.579876184463501,0.5091326832771301,0.4524754285812378,0.3818303942680359,0.3450625538825989,0.32770389318466187
think,found,person_1433,pensar,trobat,Catalan,RV,ca,0.2630884647369385,0.23456722497940066,0.222431555390358,0.21507528424263,0.2205026596784592,0.2160658836364746,0.4346023797988892,0.4220147132873535,0.3988290727138519,0.40305233001708973,0.4081445336341858,0.4022049307823181,0.19283759593963623,0.18870215117931366,0.15402263402938843,0.1256365031003952,0.11305607855319977,0.10575956106185913
future,following,person_1433,futurs,següents,Catalan,RJ,ca,0.10625336319208144,0.09914115816354753,0.10490968078374864,0.11151830852031708,0.11138267815113068,0.11003389954566956,0.3662228584289551,0.3703262209892273,0.3659267425537109,0.3703437447547913,0.3739887475967407,0.37424090504646296,0.06529946625232697,0.09089590609073639,0.09289765357971191,0.08655819296836853,0.09239969402551651,0.09490913152694702
stars,starts,person_1433,estrelles,comença,Catalan,RN,ca,0.06822684407234192,0.06864172220230103,0.06554262340068817,0.06294573843479156,0.05911505967378616,0.05615207180380821,0.16840633749961853,0.16743043065071106,0.17743822932243347,0.17434877157211304,0.17303571105003354,0.17558661103248596,0.12234334647655487,0.10050490498542786,0.09805943071842194,0.1000889241695404,0.10347535461187363,0.10575374960899353
could,may,person_1433,podria,maig,Catalan,RV,ca,0.6821067333221436,0.626814603805542,0.5362441539764404,0.4819058775901794,0.4582748413085938,0.4467732608318329,0.10666501522064208,0.10312232375144957,0.08243627846240997,0.06931554526090622,0.07091198861598969,0.0699106752872467,0.7754195928573608,0.6772161722183228,0.5405961275100708,0.46488913893699646,0.42693716287612915,0.4069085717201233
might,can,person_1433,podria,pot,Catalan,RV,ca,0.6796959638595581,0.6282963752746582,0.5628992319107056,0.5294984579086304,0.5095850229263306,0.4910375475883484,0.7584758996963501,0.696198046207428,0.6486886143684387,0.6191346645355225,0.6069895029067993,0.5982707142829895,0.6328171491622925,0.5446921586990356,0.5045977830886841,0.44451916217803955,0.4162750244140625,0.4022788405418396
arrange,set,person_1433,organitzar,establir,Catalan,RV,ca,0.19618213176727292,0.19088679552078247,0.1886642873287201,0.1869317591190338,0.183356374502182,0.18294233083724976,0.5262391567230225,0.5051040649414062,0.5025885701179504,0.4999573826789856,0.494455873966217,0.5027478337287903,0.18745140731334686,0.15023967623710632,0.14641526341438293,0.13614894449710846,0.12467290461063385,0.12042074650526047
stars,starts,person_1305,estrelles,comença,Catalan,RN,ca,0.06822684407234192,0.06864172220230103,0.06554262340068817,0.06294573843479156,0.05911505967378616,0.05615207180380821,0.16840633749961853,0.16743043065071106,0.17743822932243347,0.17434877157211304,0.17303571105003354,0.17558661103248596,0.12234334647655487,0.10050490498542786,0.09805943071842194,0.1000889241695404,0.10347535461187363,0.10575374960899353
price,prize,person_1433,preu,premi,Catalan,RN,ca,0.1822480261325836,0.18022014200687408,0.16955360770225525,0.16104277968406674,0.15076594054698944,0.14180898666381836,0.25147691369056696,0.2586205005645752,0.2441378235816956,0.2364605367183685,0.22353634238243106,0.21636143326759336,0.10662014782428741,0.09925580769777298,0.10235561430454254,0.0996401309967041,0.10164400190114975,0.09777985513210297
came,went,person_1433,venia,anava,Catalan,RV,ca,0.7321411371231079,0.6577076315879822,0.6109225749969482,0.5761339664459229,0.551633358001709,0.5327784419059753,0.7575914859771729,0.7130489349365234,0.6572563648223877,0.6286050081253052,0.6171746253967285,0.6049675941467285,0.6168377995491028,0.5650584101676941,0.5139936208724976,0.482761412858963,0.4579070508480072,0.4427626132965088
tell,say,person_1433,dir,dir,Catalan,RV,ca,0.6465024948120117,0.5864979028701782,0.5321345329284668,0.4992541670799256,0.4838590025901794,0.4716316163539887,0.7525657415390015,0.7083917856216431,0.6674731373786926,0.6437463164329529,0.6309816241264343,0.6220219731330872,0.5638948082923889,0.5175262689590454,0.441672146320343,0.40815645456314087,0.3942927420139313,0.3874724507331848
cook,cooker,person_1832,cuiner,cocció,Catalan,RN,ca,0.4868327081203461,0.485220193862915,0.480916291475296,0.4590902030467987,0.4472072720527649,0.4318282604217529,0.2572118043899536,0.2583264708518982,0.2723946869373321,0.29393014311790466,0.2858642339706421,0.28028932213783264,0.48987719416618347,0.44299453496932983,0.42009618878364563,0.4231535792350769,0.4233701229095459,0.41713839769363403
coast,cost,person_1832,costa,cost,Catalan,RN,ca,0.06283867359161377,0.06013595312833786,0.06267624348402022,0.04975640028715134,0.05107221007347107,0.04728686809539795,0.19361642003059387,0.2021009624004364,0.2434479147195816,0.23092809319496155,0.2333146631717682,0.2276945263147354,0.059093110263347626,0.051405616104602814,0.04853181540966034,0.05968310683965683,0.059196438640356064,0.05685117095708847
swim,bath,person_1832,nedeu,bany,Catalan,RN,ca,0.27131971716880804,0.2666679322719574,0.2519798874855041,0.23684580624103546,0.22592927515506744,0.22359499335289,0.24993662536144254,0.27823448181152344,0.28476887941360474,0.2762143611907959,0.2688904404640198,0.26890721917152405,0.24613571166992188,0.22794830799102783,0.21588659286499023,0.20469608902931213,0.19862592220306396,0.19299116730690002
go,come,person_1832,anar,venir,Catalan,RV,ca,0.3997579514980316,0.4004799127578736,0.3707098364830017,0.3827647566795349,0.3702765107154846,0.3580841720104217,0.6398029923439026,0.6191623210906982,0.623497724533081,0.6053190231323242,0.5954936742782593,0.5812902450561523,0.615057110786438,0.5488902926445007,0.47066134214401245,0.42358577251434326,0.3990226984024048,0.38538259267807007
stolen,robbed,person_1832,robat,robat,Catalan,RV,ca,0.4932714402675629,0.5238808393478394,0.5006891489028931,0.4682163596153259,0.4461758136749268,0.4350887537002564,0.7175914645195007,0.6544339060783386,0.5912253856658936,0.5544602870941162,0.5335285067558289,0.5191181302070618,0.4489465355873108,0.4283897876739502,0.4178144931793213,0.41662633419036865,0.3986801505088806,0.38875043392181396
shepherd,shelter,person_1433,pastor,refugi,Catalan,RN,ca,0.266948401927948,0.2468413412570953,0.22541987895965576,0.22084298729896545,0.21654172241687772,0.21380746364593506,0.3003458976745605,0.28984659910202026,0.2744881510734558,0.2609424293041229,0.2544016242027283,0.2511467933654785,0.1499035656452179,0.14639326930046082,0.15989360213279724,0.16639220714569092,0.16756021976470947,0.16717974841594696
advertising,advertisement,person_1826,publicitat,anunci,Catalan,RV,ca,0.7574576735496521,0.676982045173645,0.5969774723052979,0.5624592304229736,0.5439748167991638,0.5266909003257751,0.4556164741516113,0.4493449032306671,0.4092159867286682,0.4031789898872376,0.39429038763046265,0.3815713524818421,0.6549771428108215,0.5993442535400391,0.5130492448806763,0.4436555802822113,0.41447359323501587,0.40158340334892273
price,prize,person_1826,preu,premi,Catalan,RN,ca,0.1822480261325836,0.18022014200687408,0.16955360770225525,0.16104277968406674,0.15076594054698944,0.14180898666381836,0.25147691369056696,0.2586205005645752,0.2441378235816956,0.2364605367183685,0.22353634238243106,0.21636143326759336,0.10662014782428741,0.09925580769777298,0.10235561430454254,0.0996401309967041,0.10164400190114975,0.09777985513210297
customer,user,person_1172,client,usuari,Catalan,RN,ca,0.3588132858276367,0.3286866545677185,0.2965718507766724,0.26941740512847895,0.2622784674167633,0.2494312524795532,0.4614550471305847,0.44586414098739613,0.4334346055984497,0.4171389043331146,0.3994863033294678,0.3974995315074921,0.3991767466068268,0.40628355741500854,0.3570898771286011,0.32220661640167236,0.3156619369983673,0.30374324321746826
event,fact,person_1826,esdeveniment,fet,Catalan,RN,ca,0.2094539105892181,0.20205369591712952,0.18958449363708496,0.1727948635816574,0.16434991359710693,0.1559077799320221,0.3072701394557953,0.3087160587310791,0.3005838990211487,0.292471319437027,0.2921079397201538,0.2925790548324585,0.0736844390630722,0.054761167615652084,0.04315165430307388,0.03577171266078949,0.041905805468559265,0.038743700832128525
tell,explain,person_1826,dir,explicar,Catalan,RV,ca,0.5295467972755432,0.470090389251709,0.4800134599208832,0.449648916721344,0.4330701231956482,0.4229810833930969,0.5659184455871582,0.5436480045318604,0.5379168987274171,0.5307595729827881,0.5256218314170837,0.5238316655158997,0.4325070083141327,0.3983280658721924,0.39792072772979736,0.3681323230266571,0.3541639447212219,0.34791284799575806
eventually,actually,person_1826,finalment,fet,Catalan,RY,ca,0.3859083652496338,0.3687898516654968,0.37613195180892944,0.3640955686569214,0.3599157929420471,0.3590395152568817,0.3980682790279389,0.3897282183170319,0.39107513427734375,0.3835774064064026,0.3732824325561523,0.3667122125625609,0.35615456104278564,0.33678755164146423,0.2951422929763794,0.2732512950897217,0.26473698019981384,0.2558790445327759
could,would,person_1826,podria,vols,Catalan,RV,ca,0.7784546613693237,0.6931021809577942,0.6290518045425415,0.6093465089797974,0.5956603288650513,0.5844718217849731,0.35694319009780884,0.3595772981643677,0.33953073620796204,0.3402018547058105,0.33859530091285706,0.3345327377319336,0.7673077583312988,0.6807084083557129,0.5876848697662354,0.5218649506568909,0.4855762720108032,0.4634557366371155
very,completely,person_1826,molt,completament,Catalan,RY,ca,0.3727774322032929,0.3519348502159119,0.3273026943206787,0.3097998797893524,0.3100596070289612,0.3053484559059143,0.5842733383178711,0.5571449995040894,0.5284780263900757,0.5315261483192444,0.5297608375549316,0.5236373543739319,0.31715255975723267,0.27282434701919556,0.2626913785934448,0.27339592576026917,0.26791462302207947,0.2678299844264984
revealing,discovering,person_1826,revelar,descobrir,Catalan,RV,ca,0.4477751851081848,0.42963945865631104,0.3822805285453797,0.3713699579238892,0.3473439514636993,0.3415257930755615,0.5288177132606506,0.5271579027175903,0.5013114809989929,0.4958650171756744,0.4979605078697205,0.4882426261901856,0.3724309206008911,0.32756200432777405,0.30739057064056396,0.295357346534729,0.2671818137168884,0.25945761799812317
failing,fault,person_2687,fracassant,culpa,Catalan,RN,ca,0.31159937381744385,0.2979334890842438,0.28840988874435425,0.2817487120628357,0.2729455828666687,0.2713322043418884,0.27892810106277466,0.28106823563575745,0.2928808629512787,0.2909650206565857,0.2917642593383789,0.2832933068275452,0.1521064043045044,0.1743127703666687,0.15815359354019165,0.1500459611415863,0.14915631711483002,0.14776387810707092
tell,explain,person_1826,dir,explicar,Catalan,RV,ca,0.5295467972755432,0.470090389251709,0.4800134599208832,0.449648916721344,0.4330701231956482,0.4229810833930969,0.5659184455871582,0.5436480045318604,0.5379168987274171,0.5307595729827881,0.5256218314170837,0.5238316655158997,0.4325070083141327,0.3983280658721924,0.39792072772979736,0.3681323230266571,0.3541639447212219,0.34791284799575806
professional,serious,person_2268,professional,seriós,Catalan,RJ,ca,0.2781375050544739,0.25853249430656433,0.2259582281112671,0.20912575721740725,0.2005314528942108,0.18747255206108093,0.34994596242904663,0.3312535881996155,0.30379346013069153,0.30176687240600586,0.2956933379173279,0.2961997389793396,0.14720313251018524,0.1379738450050354,0.1297658234834671,0.12116226553916931,0.11896555125713348,0.11497396230697632
went,came,person_2687,anava,venia,Catalan,RV,ca,0.7321411371231079,0.6577076315879822,0.6109225749969482,0.5761339664459229,0.551633358001709,0.5327784419059753,0.7575914859771729,0.7130489349365234,0.6572563648223877,0.6286050081253052,0.6171746253967285,0.6049675941467285,0.6168377995491028,0.5650584101676941,0.5139936208724976,0.482761412858963,0.4579070508480072,0.4427626132965088
opportunity,possibility,person_2687,oportunitat,possibilitat,Catalan,RN,ca,0.32255256175994873,0.3143237829208374,0.2893093824386597,0.27906933426856995,0.2690611183643341,0.2599550485610962,0.6155581474304199,0.633658766746521,0.5758086442947388,0.5609958171844482,0.5422419309616089,0.5334247350692749,0.2740115225315094,0.2310687005519867,0.19683139026165009,0.17940697073936462,0.17116886377334595,0.1580011546611786
needs,necessities,person_2687,necessitats,necessitats,Catalan,RN,ca,0.304995059967041,0.30453842878341675,0.29261404275894165,0.278163343667984,0.2687973976135254,0.2529365718364716,0.7775276899337769,0.7253308296203613,0.6671894192695618,0.6272121667861938,0.6072989702224731,0.5933439135551453,0.16892895102500916,0.1707887500524521,0.1504906713962555,0.14050815999507904,0.13818132877349854,0.14121349155902863
describe,explain,person_2268,descriure,explicar,Catalan,RV,ca,0.5132830142974854,0.5058315992355347,0.4772343337535858,0.4405991435050965,0.4144973158836365,0.4110540747642517,0.5833580493927002,0.5539604425430298,0.5432817935943604,0.5263302326202393,0.5298859477043152,0.5272389650344849,0.439334899187088,0.47406870126724243,0.4203898310661316,0.393921434879303,0.3796076774597168,0.36243337392807007
have,spend,person_2268,han,gastar,Catalan,RV,ca,0.2353285551071167,0.24295812845230105,0.23780670762062076,0.2301512211561203,0.23065270483493805,0.2246394753456116,0.22976477444171906,0.20972564816474915,0.21806591749191284,0.2318117618560791,0.23802369832992554,0.2388000190258026,0.07236409187316895,0.08432863652706146,0.07942891865968704,0.09056693315505981,0.1034284234046936,0.10897821187973022
suggested,published,person_2268,suggerit,publicat,Catalan,RV,ca,0.2584293484687805,0.2546926736831665,0.2439249008893967,0.2368364036083221,0.2322248369455337,0.2194245606660843,0.30914223194122314,0.31765931844711304,0.29418066143989563,0.2930436730384827,0.28720200061798096,0.2881731986999512,0.18609455227851868,0.18055424094200134,0.1540592908859253,0.15163159370422363,0.14692389965057373,0.1385410726070404
get,take,person_1687,aconseguir,prendre,Catalan,RV,ca,0.4325936138629913,0.4712859988212586,0.4622259736061096,0.4083731770515442,0.38793325424194336,0.3799085319042206,0.4957313537597656,0.4782686233520508,0.4585904479026794,0.4481636285781861,0.4464856684207916,0.4588024318218231,0.28119564056396484,0.3476933240890503,0.350021094083786,0.31850725412368774,0.3075275421142578,0.2955617308616638
thing,point,person_2687,cosa,punt,Catalan,RN,ca,0.4048754572868347,0.3919704854488373,0.3635836243629456,0.3603526949882507,0.34691840410232544,0.3379465639591217,0.3236917853355408,0.297579288482666,0.2787288129329681,0.2866334319114685,0.3002085089683533,0.3050895929336548,0.1963447630405426,0.20340046286582947,0.18654626607894897,0.18811652064323425,0.18582430481910706,0.18333086371421814
properly,correctly,person_2687,pròpiament,correctament,Catalan,RY,ca,0.662487268447876,0.5786899328231812,0.5158068537712097,0.5008900165557861,0.4977347850799561,0.4760476350784302,0.2753075957298279,0.2870950996875763,0.29401952028274536,0.3044135570526123,0.311623752117157,0.3160057663917541,0.64162278175354,0.5954447984695435,0.50420081615448,0.4398389160633087,0.4109865128993988,0.3978881239891052
cook,cooker,person_1826,cuiner,cocció,Catalan,RN,ca,0.4868327081203461,0.485220193862915,0.480916291475296,0.4590902030467987,0.4472072720527649,0.4318282604217529,0.2572118043899536,0.2583264708518982,0.2723946869373321,0.29393014311790466,0.2858642339706421,0.28028932213783264,0.48987719416618347,0.44299453496932983,0.42009618878364563,0.4231535792350769,0.4233701229095459,0.41713839769363403
get,have,person_2268,aconseguir,han,Catalan,RV,ca,0.4519150257110596,0.4776559770107269,0.4321019351482392,0.4111254811286926,0.4047117829322815,0.3916256427764893,0.3346952795982361,0.3502310216426849,0.3550623655319214,0.3368489146232605,0.33324337005615234,0.3296175003051758,0.3335679769515991,0.30256372690200806,0.29820626974105835,0.2823261022567749,0.2938993275165558,0.2941415309906006
get,move,person_2725,aconseguir,moure,Catalan,RV,ca,0.32040661573410034,0.3154994249343872,0.29635298252105713,0.2757052183151245,0.27633267641067505,0.2783181965351105,0.4021434783935547,0.3903786540031433,0.3959151804447174,0.4065758883953095,0.40801066160202026,0.41352635622024536,0.24246348440647125,0.27556586265563965,0.25031930208206177,0.23602327704429626,0.2305566668510437,0.21817940473556519
get,know,person_2725,aconseguir,saber,Catalan,RV,ca,0.4686714410781861,0.4840718507766724,0.42973336577415466,0.4007132649421692,0.394399642944336,0.3850604891777039,0.4859039485454559,0.4743264317512512,0.480654776096344,0.4686627686023712,0.4711597561836242,0.4736557006835938,0.40861207246780396,0.3787120580673218,0.42031359672546387,0.4074506163597107,0.39754411578178406,0.4003608226776123
very,much,person_2725,molt,molt,Catalan,RY,ca,0.4732424318790436,0.4299091696739197,0.4056703746318817,0.3941497802734375,0.3832247257232666,0.3775449395179749,0.8672046661376953,0.8226560354232788,0.7694701552391052,0.7282755374908447,0.7032092809677124,0.6864041090011597,0.22554799914360046,0.22667354345321655,0.2672019600868225,0.2639608681201935,0.26047399640083313,0.2601975202560425
tell,show,person_1172,dir,mostrar,Catalan,RV,ca,0.2722434401512146,0.2542533278465271,0.2416311204433441,0.22394177317619324,0.2080293744802475,0.20469382405281067,0.4880255460739136,0.4631486535072327,0.4578524827957153,0.4568442702293396,0.4590525329113007,0.4580373167991638,0.258303701877594,0.2421095371246338,0.20972049236297607,0.19778689742088318,0.1859222948551178,0.18001222610473633
do,make,person_1172,fer,fer,Catalan,RV,ca,0.3964872360229492,0.3972426652908325,0.3771708309650421,0.37742733955383295,0.3655977249145508,0.3614171445369721,0.8120189905166626,0.7718639969825745,0.7359066009521484,0.711006760597229,0.6960633993148804,0.6850626468658447,0.3091330826282501,0.31502535939216614,0.3222962021827698,0.32232150435447693,0.32175764441490173,0.3223313093185425
price,prize,person_1172,preu,premi,Catalan,RN,ca,0.1822480261325836,0.18022014200687408,0.16955360770225525,0.16104277968406674,0.15076594054698944,0.14180898666381836,0.25147691369056696,0.2586205005645752,0.2441378235816956,0.2364605367183685,0.22353634238243106,0.21636143326759336,0.10662014782428741,0.09925580769777298,0.10235561430454254,0.0996401309967041,0.10164400190114975,0.09777985513210297
giving,having,person_1172,donant,tenir,Catalan,RV,ca,0.330628901720047,0.31710875034332275,0.33515816926956177,0.3469104766845703,0.3519787490367889,0.3430786430835724,0.4663768708705902,0.4354333877563477,0.4325010776519776,0.4285519123077393,0.428193747997284,0.4247264564037323,0.2964417338371277,0.2961020767688751,0.32831114530563354,0.3020464777946472,0.2832304835319519,0.2676786482334137
raise,rise,person_1172,recaptar,aixecarà,Catalan,RV,ca,0.3287564516067505,0.28102612495422363,0.2514657974243164,0.24264955520629886,0.2289995551109314,0.22754234075546265,0.2293122410774231,0.2464556097984314,0.2504861056804657,0.24003711342811584,0.2395166903734207,0.2372094690799713,0.27556174993515015,0.2483036071062088,0.20046326518058777,0.19350886344909668,0.1783370077610016,0.17159053683280945
anymore,more,person_2268,ja,més,Catalan,RY,ca,0.19899359345436096,0.1864926666021347,0.18203768134117126,0.1711995154619217,0.1784077137708664,0.17664358019828796,0.1309926211833954,0.11792270839214325,0.10341422259807588,0.09830549359321594,0.08717411756515503,0.07752807438373566,0.19087304174900055,0.17376258969306946,0.17492064833641052,0.1630365252494812,0.1594802737236023,0.15946181118488312
overall,global,person_1172,global,global,Catalan,RJ,ca,0.18720407783985135,0.16119177639484406,0.1257982850074768,0.1255633383989334,0.12757742404937744,0.12887278199195862,0.8132263422012329,0.7682369947433472,0.6916792988777161,0.6406837701797485,0.6155960559844971,0.5999032258987427,0.17852652072906494,0.19520273804664612,0.17038363218307495,0.15571030974388123,0.1585906744003296,0.15811583399772644
