language,type,i,c,id
Korean,RV,willing,wanting,person_1298
Korean,RV,putting,imposing,person_1298
Japanese,RV,got,was,person_2168
Japanese,RN,teacher,tutor,person_2168
Japanese,RN,payment,pay,person_2168
Japanese,RJ,less,little,person_2168
Japanese,RN,teachers,tutors,person_2168
Korean,RJ,classic,classical,person_134
Korean,RV,can,will,person_134
Korean,RV,get,have,person_134
Russian,RY,so,very,person_1852
Russian,RJ,far,faraway,person_1852
Russian,RY,too,very,person_1852
Russian,RJ,common,ordinary,person_1852
Russian,RV,have,get,person_1852
Russian,RV,make,create,person_1852
French,RV,written,said,person_2340
French,RV,put,have,person_2340
French,RJ,fit,well,person_2340
French,RV,say,stay,person_2340
Italian,RJ,little,small,person_122
Italian,RN,prize,price,person_122
Italian,RY,only,just,person_122
Italian,RY,soon,quickly,person_122
Italian,RV,took,got,person_122
Catalan,RN,Starts,Stars,person_1305
Catalan,RV,spent,had,person_1305
Catalan,RV,told,asked,person_1305
Catalan,RJ,hard,difficult,person_1305
Japanese,RN,attendance,regard,person_724
Japanese,RV,express,give,person_724
Japanese,RJ,few,small,person_724
Japanese,RV,rebuild,build,person_724
Japanese,RJ,grateful,happy,person_724
Japanese,RV,like,want,person_724
Japanese,RJ,fine,well,person_724
Japanese,RV,turn,change,person_724
Japanese,RN,blows,brows,person_724
Japanese,RV,we've,we're,person_724
French,RJ,beautiful,wonderful,person_2779
French,RY,faithfully,sincerely,person_2779
French,RY,even,also,person_2779
French,RJ,casual,ordinary,person_2779
French,RV,could,would,person_123
French,RJ,least,last,person_123
French,RY,faithfully,sincerely,person_123
French,RV,can,might,person_123
French,RN,legs,feet,person_123
French,RV,could,would,person_123
French,RN,polite,politeness,person_123
Polish,RJ,exciting,excited,person_453
Polish,RN,planes,plans,person_453
Polish,RV,have,get,person_453
Polish,RN,Mr,Mrs,person_251
Polish,RN,viewers,audience,person_251
Polish,RV,make,offer,person_251
Polish,RV,make,play,person_251
Polish,RN,word,world,person_251
Polish,RV,make,have,person_251
Polish,RY,privacy,personally,person_251
Polish,RN,Mr,Mrs,person_251
Polish,RV,get,hear,person_251
Polish,RV,meant,mentioned,person_251
Japanese,RV,does,is,person_250
Japanese,RV,must,will,person_250
Japanese,RY,faithfully,sincerely,person_250
Chinese,RV,may,might,person_454
Chinese,RV,got,had,person_454
Chinese,RN,bother,brother,person_454
Italian,RV,had,were,person_483
Italian,RN,way,method,person_483
Japanese,RV,suggest,make,person_124
Japanese,RV,enter,contain,person_124
Japanese,RV,prefer,like,person_124
Japanese,RY,very,really,person_124
Japanese,RY,quick,quickly,person_124
Japanese,RV,keep,get,person_124
Japanese,RV,picked,carried,person_124
Korean,RY,so,very,person_284
Korean,RJ,stuffy,suffocated,person_284
Korean,RJ,various,varied,person_284
Korean,RY,so,very,person_284
Korean,RY,so,very,person_284
Korean,RY,so,very,person_284
Korean,RN,county,country,person_284
Korean,RN,place,location,person_284
Turkish,RV,puts,makes,person_125
Turkish,RY,everywhere,anywhere,person_125
Japanese,RN,work,working,person_455
Japanese,RV,care,worry,person_455
Japanese,RY,Therefore,Then,person_455
Japanese,RN,hire,hair,person_455
Turkish,RV,must,should,person_1858
Turkish,RV,may,should,person_1858
Turkish,RY,so,very,person_1858
Turkish,RY,so,very,person_1858
Turkish,RV,performed,shown,person_1858
Turkish,RJ,lost,last,person_1858
Turkish,RV,went,want,person_1858
Russian,RV,visited,attended,person_458
Russian,RN,county's,country's,person_458
Russian,RV,suppose,think,person_458
Russian,RV,done,made,person_458
Russian,RV,may,could,person_458
Russian,RN,amount,number,person_458
Italian,RN,starts,stars,person_935
Italian,RN,possibility,opportunity,person_935
Italian,RJ,classic,classical,person_935
Italian,RN,possibility,opportunity,person_935
Italian,RV,give,make,person_935
Italian,RV,could,should,person_935
Italian,RV,prefer,want,person_935
Chinese,RY,before,ago,person_504
Chinese,RV,play,have,person_504
Chinese,RN,brake,break,person_504
Chinese,RV,try,succeed,person_504
Chinese,RV,take,make,person_504
Turkish,RJ,Internal,International,person_2565
Turkish,RY,today,nowadays,person_2565
Turkish,RV,got,met,person_2565
Turkish,RV,Are,Do,person_2565
Turkish,RN,Lovers,Love,person_2565
Spanish,RV,go,come,person_506
Spanish,RJ,thankful,grateful,person_506
Spanish,RV,fit,suit,person_506
Polish,RJ,great,careful,person_1331
Polish,RV,lessen,reduce,person_1331
Polish,RN,home,house,person_1331
Polish,RY,already,now,person_1331
Russian,RV,seen,attended,person_1494
Russian,RV,making,holding,person_1494
Russian,RV,go,got,person_1494
Korean,RV,supposed,expected,person_472
Korean,RV,making,organising,person_472
Japanese,RV,have,hold,person_2563
French,RV,make,have,person_107
French,RY,very,absolutely,person_107
French,RV,make,hold,person_107
French,RY,faithfully,sincerely,person_107
French,RV,took,went,person_107
French,RV,close,lock,person_107
French,RV,close,lock,person_107
French,RV,didn't,couldn't,person_107
French,RV,make,do,person_107
French,RV,Offering,Giving,person_477
French,RN,angle,angel,person_477
French,RV,bring,take,person_477
French,RV,express,describe,person_461
French,RN,enjoyment,fun,person_461
French,RJ,next,last,person_461
French,RV,have,happen,person_461
French,RN,attractions,events,person_461
French,RN,space,size,person_461
French,RV,have,be,person_461
French,RY,then,so,person_461
French,RN,lessons,school,person_461
Polish,RV,can,like,person_2171
Polish,RY,only,just,person_2171
Polish,RV,supposed,hope,person_2171
Polish,RV,hoe,hope,person_2171
Polish,RN,price,ticket,person_2171
Polish,RV,believe,hope,person_2171
Polish,RV,have,must,person_2171
Polish,RV,make,do,person_2171
Polish,RN,paper,note,person_2171
Spanish,RV,perform,show,person_514
Spanish,RN,mates,schoolmates,person_514
Spanish,RY,about,round,person_514
Spanish,RN,moments,time,person_266
Spanish,RV,passed,had,person_266
Spanish,RV,paid,bought,person_266
Spanish,RV,make,booking,person_266
Spanish,RV,concurred,attended,person_266
Spanish,RV,have,am,person_266
Spanish,RV,wouldn't,don't,person_266
Spanish,RV,make,do,person_266
Polish,RV,mentioned,said,person_1874
Chinese,RV,made,allowed,person_605
Chinese,RV,enlarged,broadening,person_605
Chinese,RV,made,meant,person_605
Chinese,RV,show,have,person_605
Chinese,RV,achieve,have,person_605
Chinese,RV,hearing,receiving,person_605
French,RY,faithfully,sincerely,person_2739
French,RV,have,get,person_2739
Japanese,RJ,greater,better,person_599
Japanese,RV,you've,you're,person_599
Japanese,RN,fan,fun,person_599
French,RN,camping,campsite,person_2666
French,RY,specially,especially,person_2666
French,RN,life,living,person_2666
Turkish,RN,starts,stars,person_955
Turkish,RY,on,out,person_955
Turkish,RV,make,do,person_955
Turkish,RJ,good,well,person_955
Turkish,RV,go,come,person_955
Turkish,RJ,clear,clean,person_955
Polish,RV,express,explain,person_1233
Polish,RN,counties,countries,person_1233
Polish,RN,show,display,person_1233
Polish,RV,occur,be,person_1233
Polish,RN,boots,shoes,person_1233
Polish,RJ,crucial,important,person_1233
Polish,RV,goes,comes,person_1233
Polish,RY,However,Furthermore,person_1233
Polish,RJ,least,latest,person_1233
Polish,RJ,special,particular,person_1233
Polish,RN,boots,shoes,person_1233
French,RN,place,space,person_969
French,RN,possibility,chance,person_969
French,RV,let,park,person_969
French,RN,nature,countryside,person_969
French,RV,had,spoke,person_969
Turkish,RJ,worthy,worth,person_558
Turkish,RJ,used,acquainted,person_558
Turkish,RY,Sincerely,faithfully,person_558
Turkish,RV,find,view,person_558
Turkish,RV,go,progress,person_558
Turkish,RN,class,course,person_558
Korean,RV,providing,arranging,person_571
Korean,RV,help,offer,person_571
Korean,RV,developed,organised,person_571
Korean,RV,spent,done,person_571
French,RV,offer,organise,person_954
French,RJ,outside,outdoor,person_954
French,RV,create,provide,person_954
French,RN,course,class,person_954
French,RV,have,take,person_954
French,RV,be,take,person_954
Chinese,RN,accessories,jewellery,person_1550
Chinese,RV,make,have,person_1550
Portuguese,RY,still,even,person_575
Portuguese,RV,have,provide,person_575
Portuguese,RV,know,teach,person_575
Portuguese,RN,addictions,addition,person_575
Portuguese,RV,hope,believe,person_575
Portuguese,RN,notices,news,person_575
Japanese,RV,brought,took,person_549
Japanese,RV,met,received,person_549
Korean,RJ,proper,normal,person_1008
Korean,RN,audiences,attendees,person_1008
Korean,RV,do,prefer,person_1008
French,RV,making,organising,person_1579
French,RJ,good,great,person_1579
French,RV,have,get,person_1579
French,RV,give,offer,person_1579
French,RV,pay,buy,person_1579
French,RV,seeing,attending,person_1579
French,RV,make,do,person_1579
French,RJ,just,fair,person_1579
Turkish,RY,nearly,almost,person_1816
Turkish,RV,joined,attended,person_1816
Turkish,RV,made,were,person_1816
Turkish,RJ,sour,sore,person_1816
Turkish,RN,application,idea,person_1816
Turkish,RY,nice,reasonably,person_1816
Turkish,RV,making,holding,person_1816
Turkish,RN,art,arts,person_1816
Turkish,RV,get,understand,person_1816
Catalan,RV,found,think,person_1433
Catalan,RJ,following,future,person_1433
Catalan,RN,editions,years,person_1433
Catalan,RN,starts,stars,person_1433
Catalan,RV,may,could,person_1433
Catalan,RJ,short,reduced,person_1433
Catalan,RV,can,might,person_1433
Catalan,RV,set,arrange,person_1433
Catalan,RN,prize,price,person_1433
Catalan,RN,shelter,shepherd,person_1433
Catalan,RV,decided,said,person_1433
Catalan,RV,went,came,person_1433
Catalan,RV,say,tell,person_1433
Polish,RV,refers,goes,person_1235
Polish,RV,would,could,person_1235
French,RJ,good,excellent,person_238
French,RJ,wise,clever,person_238
French,RN,noise,nose,person_238
Korean,RN,amusing,entertaining,person_2265
Korean,RV,bring,take,person_2265
Spanish,RV,assist,attend,person_211
Spanish,RV,win,save,person_211
Spanish,RV,cheat,deceive,person_211
Spanish,RV,call,invite,person_211
Spanish,RY,Faithfully,Sincerely,person_211
Spanish,RY,only,just,person_211
Spanish,RY,previously,beforehand,person_211
Catalan,RN,cooker,cook,person_1832
Catalan,RN,cost,coast,person_1832
Catalan,RN,bath,swim,person_1832
Catalan,RV,come,go,person_1832
Catalan,RV,robbed,stolen,person_1832
Catalan,RV,explained,told,person_1832
Catalan,RN,character,actor,person_1826
Catalan,RV,advertisement,advertising,person_1826
Catalan,RN,prize,price,person_1826
Catalan,RN,cooker,cook,person_1826
Catalan,RV,explain,tell,person_1826
Catalan,RV,explained,told,person_1826
Catalan,RN,fact,event,person_1826
Catalan,RV,explain,tell,person_1826
Catalan,RY,actually,eventually,person_1826
Catalan,RV,would,could,person_1826
Catalan,RY,completely,very,person_1826
Catalan,RV,discovering,revealing,person_1826
Turkish,RJ,complete,full,person_1198
Turkish,RN,money,price,person_1198
Turkish,RJ,close,small,person_1198
Turkish,RY,However,Next,person_1198
Turkish,RJ,unhappy,miserable,person_1198
Turkish,RY,back,away,person_1198
Turkish,RN,memory,thing,person_1198
Turkish,RN,checker,gauge,person_1198
Turkish,RV,take,make,person_1198
Italian,RV,had,should,person_2491
Italian,RV,had,would,person_2491
Italian,RY,forever,ever,person_2491
Spanish,RV,presenting,showing,person_397
Spanish,RV,felling,feeling,person_397
Spanish,RV,solve,resolve,person_397
French,RJ,bad,inaccurate,person_383
French,RV,went,came,person_383
French,RN,return,response,person_383
French,RV,let,left,person_383
French,RN,morality,moral,person_383
Catalan,RY,correctly,properly,person_2687
Catalan,RN,fault,failing,person_2687
Catalan,RN,point,thing,person_2687
Catalan,RV,came,went,person_2687
Catalan,RN,possibility,opportunity,person_2687
Catalan,RV,said,told,person_2687
Catalan,RN,necessities,needs,person_2687
Italian,RN,servants,waiters,person_1417
Italian,RN,prize,price,person_1417
Italian,RY,deeply,profoundly,person_1417
Italian,RN,help,helper,person_1417
Italian,RN,personality,way,person_1417
Spanish,RY,too,also,person_803
Spanish,RV,do,give,person_803
Spanish,RV,increase,continue,person_803
Turkish,RV,play,star,person_1359
Turkish,RV,played,starred,person_1359
Turkish,RV,saw,had,person_1359
Turkish,RV,gave,paid,person_1359
Turkish,RN,FAULT,MISTAKE,person_1359
Turkish,RN,fault,mistake,person_1359
Turkish,RV,gave,tell,person_1359
Swedish,RV,must,would,person_778
Swedish,RV,become,was,person_778
Swedish,RV,should,would,person_778
Swedish,RN,leakage,leak,person_778
Swedish,RV,fulfill,realise,person_778
Korean,RV,playing,performing,person_1588
Korean,RY,highly,greatly,person_1588
Korean,RV,became,started,person_1588
Russian,RJ,WRONG,FALSE,person_546
Russian,RN,actors,cast,person_546
Russian,RV,play,appear,person_546
Russian,RJ,included,enclosed,person_546
Russian,RJ,convenient,helpful,person_546
Russian,RV,deliver,take,person_546
Spanish,RV,play,appear,person_2297
Spanish,RV,permits,allows,person_2297
Spanish,RV,permit,allow,person_2297
Spanish,RV,gives,creates,person_2297
Spanish,RV,sell,serve,person_1952
Spanish,RY,when,where,person_1952
Catalan,RV,EXPLAIN,DESCRIBE,person_2268
Catalan,RV,SPEND,HAVE,person_2268
Catalan,RV,PUBLISHED,SUGGESTED,person_2268
Catalan,RJ,SERIOUS,PROFESSIONAL,person_2268
Catalan,RV,explained,told,person_2268
Catalan,RV,have,get,person_2268
Catalan,RY,more,anymore,person_2268
Catalan,RY,NO,NOT,person_2268
German,RN,points,reasons,person_1775
German,RV,play,appear,person_1775
German,RN,room,auditorium,person_1775
German,RJ,short,small,person_1775
German,RV,taking,getting,person_1775
German,RJ,big,large,person_1775
German,RV,will,want,person_1775
Polish,RN,entertainment,show,person_585
Polish,RV,suspected,expected,person_585
Polish,RV,meet,find,person_585
Polish,RN,possibility,opportunity,person_585
Polish,RJ,common,ordinary,person_585
Polish,RV,omit,avoid,person_585
Turkish,RV,written,advertised,person_2241
Turkish,RV,play,pay,person_2241
Turkish,RV,wear,go,person_2241
German,RV,passed,spent,person_235
German,RV,visit,see,person_235
German,RV,thought,expected,person_235
German,RN,question,request,person_235
German,RV,have,would,person_235
German,RY,nearly,almost,person_235
German,RV,had,would,person_235
German,RV,was,had,person_235
Russian,RV,seat,sit,person_2296
Russian,RV,turn,change,person_2296
Russian,RV,chances,channels,person_2296
Russian,RV,stop,prevent,person_2296
Catalan,RV,move,get,person_2725
Catalan,RY,everywhere,anywhere,person_2725
Catalan,RV,know,get,person_2725
Catalan,RY,much,very,person_2725
Spanish,RN,pace,place,person_1238
Spanish,RN,thing,aspect,person_1238
Spanish,RN,things,consequences,person_1238
Spanish,RV,make,give,person_2731
Spanish,RV,arrived,go,person_2731
Spanish,RV,spend,had,person_2731
Spanish,RN,comprehension,understanding,person_2731
Spanish,RY,out,away,person_2731
Spanish,RV,arrived,returned,person_2731
Polish,RY,absolutely,really,person_2123
Polish,RJ,current,present-day,person_2123
Polish,RV,going,walking,person_2123
Polish,RV,should,will,person_2123
Polish,RV,get,go,person_2123
Polish,RV,predict,guess,person_2123
Greek,RV,told,said,person_816
Greek,RV,destroyed,ruined,person_816
Greek,RV,starts,stars,person_2679
Greek,RV,started,starred,person_2679
Greek,RV,writes,says,person_2679
Greek,RV,get,feel,person_2679
Greek,RV,refer,say,person_2679
Greek,RV,written,said,person_2679
Greek,RV,had,was,person_2679
Greek,RV,hadn't,didn't,person_2679
Greek,RV,become,make,person_2679
Greek,RV,get,go,person_2679
Greek,RV,spend,occupy,person_2679
Greek,RV,got,go,person_2679
Greek,RN,pile,battery,person_2679
Greek,RV,effected,affected,person_2679
French,RV,waiting,writing,person_1370
French,RV,presented,advertised,person_1370
French,RN,diner,dinner,person_1370
French,RV,pretending,claiming,person_1370
French,RN,costumer,customer,person_1370
French,RN,solutions,way,person_1370
French,RY,there,here,person_1370
Polish,RV,stared,starred,person_625
Polish,RV,written,stated,person_625
Polish,RV,drink,have,person_625
Polish,RV,indicate,state,person_619
Polish,RV,put,gave,person_619
Polish,RN,hours,times,person_619
Polish,RV,mentioned,stated,person_619
Polish,RV,coming,getting,person_619
Polish,RJ,famous,favourite,person_619
Polish,RV,coming,going,person_619
Polish,RV,playing,performing,person_619
Polish,RV,advertised,claimed,person_619
Polish,RN,possibility,way,person_619
Polish,RY,nowadays,now,person_619
Polish,RV,say,tell,person_619
Polish,RJ,nearest,next,person_619
Polish,RJ,sensible,sensitive,person_619
Polish,RN,possibility,opportunity,person_619
Spanish,RN,visitors,audience,person_1628
Spanish,RY,later,late,person_1628
Spanish,RJ,plenty,full,person_1628
Spanish,RV,met,found,person_2321
Spanish,RJ,bad,poor,person_2321
Spanish,RV,want,went,person_2321
Spanish,RV,Looking,Waiting,person_2321
Spanish,RY,no,not,person_2321
Spanish,RN,sellers,salesmen,person_2321
Catalan,RV,show,tell,person_1172
Catalan,RV,make,do,person_1172
Catalan,RN,prize,price,person_1172
Catalan,RV,having,giving,person_1172
Catalan,RN,user,customer,person_1172
Catalan,RV,rise,raise,person_1172
Catalan,RJ,global,overall,person_1172
Catalan,RV,making,doing,person_1172
Catalan,RV,hadn't,mustn't,person_1172
Catalan,RN,solutions,answers,person_1172
Spanish,RV,is,have,person_433
Spanish,RY,before,above,person_433
Spanish,RJ,available,able,person_433
Spanish,RV,seating,sitting,person_433
Spanish,RV,did,had,person_433
Spanish,RV,gave,had,person_433
Korean,RJ,available,on,person_419
Korean,RV,are,had,person_419
Korean,RV,have,do,person_419
Korean,RV,search,find,person_419
Spanish,RN,PART,PLACE,person_425
Spanish,RN,PLAY,MUSICAL,person_425
Spanish,RV,SPEND,HAVE,person_425
Spanish,RY,NO,NOT,person_425
Spanish,RV,GIVE,ATTACH,person_425
Spanish,RV,lasted,were,person_1164
Spanish,RV,supply,satisfy,person_1164
Spanish,RJ,cooler,colder,person_1164
Spanish,RJ,workable,stressful,person_1164
Spanish,RV,get,fall,person_1164
Spanish,RV,being,becoming,person_1164
Spanish,RN,possibility,chance,person_1164
Spanish,RY,nevertheless,however,person_155
Spanish,RV,has,was,person_155
Spanish,RY,Besides,Also,person_155
Spanish,RV,spent,had,person_155
Spanish,RV,preparing,arranging,person_155
Russian,RV,play,act,person_1400
Russian,RJ,common,ordinary,person_1400
Russian,RV,make,draw,person_1400
Russian,RJ,common,ordinary,person_1400
French,RV,have,get,person_1372
French,RV,got,had,person_1372
French,RV,thought,remembered,person_1372
French,RV,would,ought,person_1372
French,RV,came,became,person_1372
French,RJ,hungry,angry,person_1372
Greek,RV,were,did,person_828
Greek,RV,return,give,person_828
Greek,RJ,shame,embarrassed,person_828
Greek,RV,was,had,person_828
Italian,RV,SAY,TELL,person_2096
Italian,RN,ROBBER,THIEF,person_2096
Italian,RV,UNDERSTOOD,REALISED,person_2096
German,RV,have,were,person_1212
German,RY,Eventually,Finally,person_1212
Polish,RV,complete,complain,person_960
Polish,RJ,confusing,confused,person_960
Polish,RY,Neither,Also,person_960
Thai,RV,pay,give,person_2294
Thai,RY,How,However,person_2294
Polish,RV,offered,advertised,person_223
Polish,RN,offer,advertisement,person_223
Polish,RV,telling,giving,person_223
Polish,RN,cause,reason,person_223
Polish,RY,Recently,Today,person_223
Polish,RV,connect,talk,person_223
Turkish,RV,said,supposed,person_2519
Turkish,RN,excuse,apology,person_2519
Turkish,RV,have,play,person_2519
Polish,RN,viewers,audience,person_587
Polish,RV,spent,have,person_587
Polish,RN,mater,matter,person_587
Polish,RV,meet,see,person_587
Polish,RV,abandon,ban,person_587
Polish,RN,sewage,waste,person_587
Polish,RY,considerably,wisely,person_587
French,RV,said,told,person_2256
French,RY,off,up,person_2256
French,RN,decorations,decor,person_2256
French,RN,advertisement,advertising,person_2256
French,RV,become,come,person_2256
French,RJ,male,masculine,person_2256
Turkish,RV,be,have,person_2242
Turkish,RV,written,said,person_2242
Turkish,RN,progress,works,person_2242
Turkish,RN,production,invention,person_2242
Turkish,RN,pupil,people,person_2242
Turkish,RN,subject,area,person_2242
Turkish,RV,can't,don't,person_2242
Polish,RV,was,went,person_1005
Polish,RY,sincerely,faithfully,person_1005
Turkish,RV,watch,see,person_2518
Turkish,RY,sincerely,faithfully,person_2518
Spanish,RV,APPEARS,STATES,person_1011
Spanish,RY,HEAVILY,REALLY,person_1011
Spanish,RV,DIDN'T,HADN'T,person_1011
Spanish,RV,GOT,HAD,person_1011
Spanish,RV,MODERNIZES,ADVANCES,person_1011
Spanish,RV,MAKING,DOING,person_1011
Spanish,RV,listening,playing,person_2295
Spanish,RY,definitively,definitely,person_2295
Spanish,RN,renewal,refurbishment,person_2295
Spanish,RN,advertising,advertisement,person_2295
Spanish,RV,make,give,person_2295
Spanish,RN,public,audience,person_2295
Spanish,RN,model,type,person_2295
Italian,RN,brochure,flyer,person_222
Italian,RN,brochure,flyer,person_222
Italian,RN,living,life,person_222
Italian,RN,relations,relationships,person_222
Italian,RJ,first,main,person_949
Italian,RN,fees,prices,person_949
Italian,RY,out,up,person_949
Spanish,RJ,common,average,person_1575
Spanish,RJ,formal,actual,person_1575
Spanish,RV,discus,using,person_1575
Italian,RN,complaint,displeasure,person_2097
Italian,RV,find,see,person_2097
Italian,RV,have,get,person_2097
Italian,RV,would,should,person_2097
Italian,RV,showed,presented,person_2097
Italian,RJ,good,positive,person_2097
Italian,RN,applications,appliance,person_2097
Spanish,RV,have,get,person_1429
Spanish,RV,announced,supposed,person_1429
Spanish,RV,spend,have,person_1429
Spanish,RV,announce,advertised,person_1429
Spanish,RV,make,do,person_1429
Italian,RV,made,gave,person_2685
Italian,RN,spectacle,show,person_2685
Italian,RJ,pleased,happy,person_2685
Italian,RV,would,could,person_2685
Italian,RV,increases,expands,person_2685
Italian,RV,must,can,person_2685
Italian,RV,have,get,person_2685
Italian,RV,keep,maintain,person_2685
Italian,RJ,far,distant,person_2685
Spanish,RV,said,asked,person_140
Spanish,RJ,nervous,irritable,person_140
Spanish,RV,making,doing,person_140
Spanish,RN,point,aspect,person_140
Spanish,RV,reaching,had,person_140
Spanish,RV,loosing,losing,person_140
Greek,RN,cooker,chef,person_1159
Greek,RJ,disappointed,disappointing,person_1159
Greek,RY,faithfully,sincerely,person_1159
Greek,RN,improve,development,person_1159
Greek,RJ,close,closed,person_1159
Greek,RV,have,ought,person_1159
Greek,RN,reason,cause,person_1159
Swedish,RV,told,advertised,person_2493
Swedish,RV,make,join,person_2493
Swedish,RN,feature,trait,person_2493
Spanish,RV,read,said,person_424
Spanish,RV,participated,performed,person_424
Spanish,RV,became,received,person_424
Spanish,RN,hour,time,person_424
Spanish,RN,timer,alarm,person_424
Spanish,RV,stand,get,person_424
Spanish,RV,reach,arrive,person_424
Spanish,RV,loose,lose,person_424
Catalan,RV,play,perform,person_1149
Catalan,RN,public,audience,person_1149
Catalan,RV,explain,tell,person_1149
Catalan,RV,kicked,hit,person_1149
Catalan,RV,explain,tell,person_1149
Portuguese,RN,changing,change,person_2695
Portuguese,RV,would,could,person_2695
Portuguese,RN,work,repairs,person_2695
Portuguese,RN,distractions,leisure,person_2695
Portuguese,RV,have,suffer,person_2695
Portuguese,RJ,comprehensible,understanding,person_2695
Portuguese,RJ,polluted,waste,person_2695
Turkish,RJ,disillusioned,disappointed,person_622
Turkish,RV,told,said,person_622
Turkish,RN,schedule,programme,person_622
Turkish,RJ,exact,full,person_622
Turkish,RV,went,want,person_622
Turkish,RN,solace,consolation,person_622
Turkish,RY,Sincerely,faithfully,person_622
Turkish,RV,reach,find,person_622
Turkish,RY,again,too,person_622
Turkish,RN,medium,place,person_622
Italian,RV,assured,promised,person_756
Italian,RY,after,afterwards,person_756
Italian,RN,invention,hoax,person_756
Korean,RN,roll,role,person_2093
Korean,RV,say,make,person_2093
Korean,RV,have,get,person_2093
Korean,RV,blew,wasted,person_2093
Korean,RN,cloths,clothes,person_2093
Korean,RN,roll,role,person_2093
Korean,RN,cloth,clothes,person_2093
Japanese,RV,act,appear,person_2044
Japanese,RV,said,promised,person_2044
Japanese,RV,acted,appeared,person_2044
Japanese,RV,did,were,person_2044
Japanese,RV,meet,see,person_2044
Japanese,RY,longer,more,person_2044
Portuguese,RV,said,promised,person_1203
Chinese,RN,term,turn,person_2246
Chinese,RN,situation,experience,person_2246
Chinese,RV,said,promised,person_2246
Chinese,RJ,tricky,deceitful,person_2246
Spanish,RV,found,had,person_2252
Spanish,RJ,full,full-price,person_2252
Spanish,RV,get,go,person_2252
Spanish,RN,purpose,intention,person_2252
Spanish,RV,take,have,person_2252
