c,i,id,l1_c,l1_i,language,type,code,l2_sim_cc_5,l2_sim_cc_10,l2_sim_cc_25,l2_sim_cc_50,l2_sim_cc_75,l2_sim_cc_100
grateful,thankful,person_2175,agraït,agraït,Catalan,RJ,ca,0.7897936105728149,0.7065021395683289,0.6319975852966309,0.5833642482757568,0.5536841154098511,0.5316712856292725
carried,bring,person_2175,portat,portar,Catalan,RV,ca,0.2621304392814636,0.25580817461013794,0.2067302167415619,0.1939442753791809,0.19151896238327026,0.1854972094297409
lying,laying,person_2175,mentint,imposició,Catalan,RV,ca,0.4188849925994873,0.4253319203853607,0.39372169971466064,0.3685530424118042,0.36489415168762207,0.35692182183265686
tells,says,person_2767,diu,diu,Catalan,RV,ca,0.37288472056388855,0.35348132252693176,0.31316035985946655,0.3253229856491089,0.3071362376213074,0.29733893275260925
go,be,person_2767,anar,ser,Catalan,RV,ca,0.44593214988708496,0.454314261674881,0.43916720151901245,0.38119077682495117,0.3634689152240753,0.34367120265960693
story,history,person_2544,història,història,Catalan,RN,ca,0.31820130348205566,0.3002955913543701,0.2878766655921936,0.28107887506484985,0.2742793560028076,0.2675854563713074
include,take,person_471,inclouen,prendre,Catalan,RV,ca,0.1735989898443222,0.16831323504447937,0.17680630087852478,0.16369734704494476,0.14230889081954956,0.1419229805469513
guys,gays,person_2544,nois,gais,Catalan,RN,ca,0.3406493663787842,0.30875325202941895,0.28272581100463867,0.2636387348175049,0.25666993856430054,0.25116634368896484
kind,can,person_2544,tipus,pot,Catalan,RN,ca,0.24117326736450195,0.24418094754219055,0.2384396195411682,0.2420683205127716,0.23267853260040283,0.22298036515712738
riding,going,person_772,muntar,anant,Catalan,RV,ca,0.23361673951148987,0.201581671833992,0.17382395267486572,0.1652471423149109,0.15744754672050476,0.154034823179245
tell,explain,person_772,dir,explicar,Catalan,RV,ca,0.5295467972755432,0.470090389251709,0.4800134599208832,0.449648916721344,0.4330701231956482,0.4229810833930969
promised,offered,person_772,promès,oferts,Catalan,RV,ca,0.34956416487693787,0.3271337151527405,0.33054429292678833,0.3412480354309082,0.3268572688102722,0.3158561587333679
get,receive,person_772,aconseguir,rebre,Catalan,RV,ca,0.3277006149291992,0.32577091455459595,0.2979743480682373,0.2832677662372589,0.27174729108810425,0.26160871982574463
forgot,forbade,person_764,oblidava,prohibia,Catalan,RV,ca,0.16233360767364502,0.13455002009868622,0.1389482319355011,0.13962119817733765,0.1445712149143219,0.1467263400554657
having,spending,person_764,tenir,gastar,Catalan,RV,ca,0.2902175784111023,0.2503931522369385,0.21740971505641937,0.21355986595153809,0.21741509437561035,0.2106199413537979
advise,obliged,person_1999,assessorar,obligat,Catalan,RV,ca,0.3681098222732544,0.33137473464012146,0.3066946268081665,0.29641854763031006,0.2847234606742859,0.277357280254364
chance,experience,person_772,oportunitat,experiència,Catalan,RN,ca,0.23678305745124817,0.22974497079849243,0.2107900083065033,0.20778913795948029,0.20551331341266632,0.19943994283676147
turned,put,person_1999,convertit,posar,Catalan,RV,ca,0.37078362703323364,0.34941011667251587,0.3554122745990753,0.35194331407546997,0.34390318393707275,0.33688655495643616
gave,bring,person_1999,donava,portar,Catalan,RV,ca,0.3296188414096832,0.32252222299575806,0.30785250663757324,0.28129106760025024,0.25932639837265015,0.248531311750412
runs,leaded,person_1999,executa,liderat,Catalan,RV,ca,0.12529975175857544,0.09582418203353882,0.0869840458035469,0.09140065312385559,0.08552555739879608,0.08415313065052032
show,event,person_1999,mostra,esdeveniment,Catalan,RN,ca,0.2859300673007965,0.2865166664123535,0.2643953561782837,0.24753084778785706,0.23926517367362976,0.23065397143363953
everyday,daily,person_2777,quotidiana,diari,Catalan,RJ,ca,0.598691463470459,0.5148543119430542,0.4477577805519104,0.41009169816970825,0.38689112663269043,0.366692453622818
price,ticket,person_2777,preu,bitllet,Catalan,RN,ca,0.25758516788482666,0.23530283570289612,0.22220662236213684,0.21299955248832703,0.20709678530693054,0.19946876168251038
played,held,person_2777,jugat,celebrar,Catalan,RV,ca,0.20877805352210999,0.1980142593383789,0.20383965969085693,0.21194328367710114,0.207071453332901,0.21377655863761902
hope,wish,person_1687,espero,desitjar,Catalan,RV,ca,0.48686450719833374,0.47666072845458984,0.45166900753974915,0.41320937871932983,0.39855289459228516,0.3942027688026428
talk,make,person_1999,parlar,fer,Catalan,RV,ca,0.113869309425354,0.12638527154922485,0.11833744496107101,0.11807061731815338,0.11534881591796875,0.1139543205499649
tell,explain,person_772,dir,explicar,Catalan,RV,ca,0.5295467972755432,0.470090389251709,0.4800134599208832,0.449648916721344,0.4330701231956482,0.4229810833930969
reasons,problems,person_1958,raons,problemes,Catalan,RN,ca,0.320397287607193,0.2860535979270935,0.2743126153945923,0.2544284462928772,0.24354299902915955,0.243284210562706
also,after,person_1958,també,després,Catalan,RY,ca,0.14532896876335144,0.15711629390716553,0.16539961099624634,0.17313678562641144,0.1721208393573761,0.17007683217525482
countryside,nature,person_2544,camp,naturalesa,Catalan,RN,ca,0.2760891914367676,0.25682196021080017,0.2371642291545868,0.22757090628147125,0.2257753312587738,0.22410795092582703
went,ran,person_169,anava,corria,Catalan,RV,ca,0.6660505533218384,0.6181087493896484,0.5470671653747559,0.5097242593765259,0.49829092621803284,0.49251437187194824
help,avoid,person_169,ajudar,evitar,Catalan,RV,ca,0.26336538791656494,0.2555653154850006,0.2739008665084839,0.24500200152397156,0.2449721395969391,0.24183709919452667
early,soon,person_169,hora,aviat,Catalan,RY,ca,0.2943192720413208,0.25569331645965576,0.23241475224494934,0.21305683255195618,0.2130020558834076,0.21499142050743103
campsite,camping,person_169,càmping,camping,Catalan,RN,ca,0.6608662605285645,0.6459355354309082,0.5975369215011597,0.5604049563407898,0.5301544666290283,0.5058072209358215
especially,specially,person_169,especialment,especialment,Catalan,RY,ca,0.34219878911972046,0.33667248487472534,0.2956363558769226,0.2686932384967804,0.2626763582229614,0.2625589668750763
done,made,person_775,fet,fet,Catalan,RV,ca,0.28773099184036255,0.2798879146575928,0.26602450013160706,0.27283692359924316,0.26329928636550903,0.2663165330886841
got,caught,person_775,aconseguia,agafat,Catalan,RV,ca,0.41061174869537354,0.38897228240966797,0.36477988958358765,0.38224413990974426,0.38220277428627014,0.3847958445549011
understand,complain,person_775,entendre,queixar,Catalan,RV,ca,0.3299047350883484,0.30377835035324097,0.2876952886581421,0.27351024746894836,0.2732979655265808,0.2682272493839264
given,done,person_1958,donat,fet,Catalan,RV,ca,0.26081758737564087,0.2503654360771179,0.23994073271751404,0.2502775192260742,0.24453045427799225,0.24402162432670593
missed,lose,person_1958,enyorat,perdre,Catalan,RV,ca,0.26385730504989624,0.2110184133052826,0.1918734461069107,0.19805046916007996,0.19416943192481995,0.18911033868789673
story,history,person_1958,història,història,Catalan,RN,ca,0.31820130348205566,0.3002955913543701,0.2878766655921936,0.28107887506484985,0.2742793560028076,0.2675854563713074
take,look,person_1958,prendre,mirar,Catalan,RV,ca,0.3707064092159271,0.36222708225250244,0.3795686364173889,0.34056997299194336,0.32957208156585693,0.32860228419303894
irritable,irritated,person_1958,irritable,irritada,Catalan,RJ,ca,0.5591937303543091,0.5336694717407227,0.5288599729537964,0.4928196668624878,0.48452794551849365,0.471185564994812
had,got,person_1958,havia,aconseguia,Catalan,RV,ca,0.6314924359321594,0.5723605751991272,0.5186147093772888,0.49555903673171997,0.4755288362503052,0.45889633893966675
irritable,irritated,person_1958,irritable,irritada,Catalan,RJ,ca,0.5591937303543091,0.5336694717407227,0.5288599729537964,0.4928196668624878,0.48452794551849365,0.471185564994812
closed,close,person_1958,tancat,estreta,Catalan,RJ,ca,0.27860027551651,0.27040964365005493,0.29026785492897034,0.28234198689460754,0.2783109247684479,0.267139732837677
clothes,fashion,person_2544,roba,moda,Catalan,RN,ca,0.4073520004749298,0.3768073618412018,0.33542221784591675,0.32300877571105957,0.3214627504348755,0.31891483068466187
time,part,person_471,temps,part,Catalan,RN,ca,0.29371142387390137,0.273621529340744,0.2681865990161896,0.2576523423194885,0.25245940685272217,0.2546706795692444
include,make,person_471,inclouen,fer,Catalan,RV,ca,0.22216057777404785,0.211061030626297,0.19042587280273438,0.1861715018749237,0.17327921092510223,0.17225992679595947
talk,take,person_471,parlar,prendre,Catalan,RV,ca,0.17552168667316437,0.16648852825164795,0.1673659086227417,0.14342546463012695,0.1349477767944336,0.12787717580795288
sit,get,person_3074,seure,aconseguir,Catalan,RV,ca,0.3005203604698181,0.31946703791618347,0.2945314943790436,0.2852637767791748,0.2820627689361572,0.27746570110321045
idea,clue,person_3074,idea,pista,Catalan,RN,ca,0.35936224460601807,0.3613940179347992,0.3545442223548889,0.3557140827178955,0.34023216366767883,0.33546334505081177
objects,symbols,person_3074,objectes,símbols,Catalan,RN,ca,0.29549121856689453,0.28651031851768494,0.2724820375442505,0.25843602418899536,0.25145742297172546,0.2528478503227234
want,like,person_3074,volen,agrada,Catalan,RV,ca,0.5281713008880615,0.510770857334137,0.4850226044654846,0.4689836800098419,0.4439934492111206,0.42967432737350464
definitely,hardly,person_3074,definitivament,penes,Catalan,RY,ca,0.3911951184272766,0.39410099387168884,0.40652158856391907,0.3860316872596741,0.38037675619125366,0.37504035234451294
serious,grave,person_3074,seriós,greu,Catalan,RJ,ca,0.16655230522155762,0.14329251646995544,0.1327504813671112,0.14128375053405762,0.13624665141105652,0.13684140145778656
atmosphere,air,person_3101,ambient,aire,Catalan,RN,ca,0.2840946614742279,0.2791796326637268,0.26501673460006714,0.24486547708511353,0.2318892776966095,0.22672484815120697
provided,answered,person_3305,proporcionat,contestades,Catalan,RV,ca,0.22951197624206543,0.20628398656845093,0.202246755361557,0.18344959616661072,0.174384206533432,0.17446336150169373
irritable,nervous,person_3101,irritable,nerviós,Catalan,RJ,ca,0.3811662495136261,0.38691800832748413,0.395546555519104,0.3890037536621094,0.39150524139404297,0.3786010146141052
ending,losing,person_3038,acabant,perdre,Catalan,RV,ca,0.2119496762752533,0.1882130354642868,0.17869499325752258,0.1789318323135376,0.17797884345054626,0.17562955617904663
imagine,think,person_3038,imaginar,pensar,Catalan,RV,ca,0.5778679847717285,0.5535040497779846,0.54073166847229,0.5229359269142151,0.5085791945457458,0.4977841377258301
will,can,person_3038,es,pot,Catalan,RV,ca,0.6513598561286926,0.6332511901855469,0.5650200247764587,0.5293972492218018,0.49862754344940186,0.4802524447441101
outfit,dress,person_3038,vestit,vestit,Catalan,RN,ca,0.5455554723739624,0.5225805640220642,0.5291863679885864,0.5286352634429932,0.5093796849250793,0.49818968772888184
running,process,person_562,executant,procés,Catalan,RN,ca,0.1298050582408905,0.11449146270751953,0.1208401769399643,0.11228379607200623,0.10578183084726334,0.10577234625816345
convenient,comfortable,person_562,convenient,còmode,Catalan,RJ,ca,0.4261372685432434,0.4047643542289734,0.3737157881259918,0.3496473729610443,0.3376157283782959,0.3332090973854065
also,besides,person_562,també,més,Catalan,RY,ca,0.34486445784568787,0.31531423330307007,0.3319351077079773,0.3289177715778351,0.3264038860797882,0.32337242364883423
tradition,fashion,person_3038,tradició,moda,Catalan,RN,ca,0.22043296694755554,0.19144874811172485,0.1975039839744568,0.18590126931667328,0.18009504675865173,0.17849574983119965
dress,dressing,person_3305,vestit,amaniment,Catalan,RN,ca,0.43410658836364746,0.41117140650749207,0.41456466913223267,0.4000445604324341,0.3859842121601105,0.3788983225822449
will,must,person_2799,es,ha,Catalan,RV,ca,0.6155092716217041,0.5901577472686768,0.536082923412323,0.4927062392234802,0.4709934592247009,0.45845353603363037
walk,walking,person_2799,passeig,senderisme,Catalan,RN,ca,0.6935629844665527,0.6038941740989685,0.5544907450675964,0.5192871689796448,0.4989220201969147,0.49154919385910034
get,take,person_3019,aconseguir,prendre,Catalan,RV,ca,0.43259361386299133,0.47128599882125854,0.4622259736061096,0.4083731770515442,0.38793325424194336,0.3799085319042206
smaller,minor,person_3019,menor,menor,Catalan,RJ,ca,0.20683865249156952,0.20672118663787842,0.18451696634292603,0.1934019923210144,0.19346243143081665,0.18909496068954468
jobs,works,person_3019,feines,obres,Catalan,RN,ca,0.1431783139705658,0.12798018753528595,0.13042303919792175,0.10752424597740173,0.10433785617351532,0.105951689183712
jobs,works,person_3019,feines,obres,Catalan,RN,ca,0.1431783139705658,0.12798018753528595,0.13042303919792175,0.10752424597740173,0.10433785617351532,0.105951689183712
made,done,person_3019,fet,fet,Catalan,RV,ca,0.28773099184036255,0.2798879146575928,0.26602450013160706,0.27283692359924316,0.26329928636550903,0.2663165330886841
ways,meanings,person_3019,maneres,significats,Catalan,RN,ca,0.27287957072257996,0.2670596241950989,0.24721212685108185,0.24022701382637024,0.2304726243019104,0.22181177139282227
will,can,person_3019,es,pot,Catalan,RV,ca,0.6513598561286926,0.6332511901855469,0.5650200247764587,0.5293972492218018,0.49862754344940186,0.4802524447441101
vicinity,area,person_3019,proximitats,àrea,Catalan,RN,ca,0.4253097176551819,0.4028712213039398,0.39898908138275146,0.37995386123657227,0.37146884202957153,0.36101841926574707
throwing,doing,person_3019,llançant,fent,Catalan,RV,ca,0.340471088886261,0.29835832118988037,0.27249330282211304,0.28241729736328125,0.284850537776947,0.2819143831729889
walk,walking,person_3019,passeig,senderisme,Catalan,RN,ca,0.6935629844665527,0.6038941740989685,0.5544907450675964,0.5192871689796448,0.4989220201969147,0.49154919385910034
gets,is,person_3240,aconsegueix,és,Catalan,RV,ca,0.24875935912132263,0.24838393926620483,0.24517785012722015,0.22960853576660156,0.22087448835372925,0.21516266465187073
homes,houses,person_3240,cases,cases,Catalan,RN,ca,0.6671315431594849,0.6051273941993713,0.5415014624595642,0.5189425945281982,0.5086675882339478,0.4957389533519745
tour,visit,person_2799,tour,visita,Catalan,RN,ca,0.35910290479660034,0.3438814580440521,0.3317318558692932,0.2966234087944031,0.27685344219207764,0.27253779768943787
wander,wonder,person_2799,vagar,pregunto,Catalan,RV,ca,0.2664676904678345,0.24843621253967285,0.22868025302886963,0.22001926600933075,0.2105521857738495,0.20653291046619415
times,periods,person_2799,vegades,períodes,Catalan,RN,ca,0.3457925319671631,0.32746651768684387,0.3012455105781555,0.29083776473999023,0.28504031896591187,0.27848294377326965
large,big,person_2799,gran,gran,Catalan,RJ,ca,0.5923492908477783,0.5541363954544067,0.5427341461181641,0.4988848567008972,0.47623175382614136,0.468063622713089
will,can,person_2799,es,pot,Catalan,RV,ca,0.6513598561286926,0.6332511901855469,0.5650200247764587,0.5293972492218018,0.49862754344940186,0.4802524447441101
could,would,person_562,podria,vols,Catalan,RV,ca,0.7784546613693237,0.6931021809577942,0.6290518045425415,0.6093465089797974,0.5956603288650513,0.5844718217849731
is,has,person_562,és,ha,Catalan,RV,ca,0.32511937618255615,0.2968980669975281,0.293484628200531,0.27979016304016113,0.2790907621383667,0.2785833477973938
companions,partners,person_2667,companys,socis,Catalan,RN,ca,0.2589578628540039,0.2281462401151657,0.23011162877082825,0.2212820202112198,0.2163720726966858,0.21270301938056946
help,helping,person_2667,ajuda,ajudar,Catalan,RN,ca,0.6809103488922119,0.6008634567260742,0.4734728932380676,0.43353182077407837,0.419234037399292,0.40353924036026
waiting,writing,person_1000,espera,escriure,Catalan,RV,ca,0.1569792628288269,0.17015862464904785,0.1510508954524994,0.1420585811138153,0.13367882370948792,0.13170915842056274
forget,leave,person_2066,oblidar,deixar,Catalan,RV,ca,0.320245623588562,0.35580816864967346,0.31870782375335693,0.3113343119621277,0.3061986267566681,0.2953196167945862
trips,journeys,person_439,viatges,viatges,Catalan,RN,ca,0.4667881727218628,0.44824641942977905,0.4253937005996704,0.3888668715953827,0.39141786098480225,0.37753331661224365
can,do,person_439,pot,fer,Catalan,RV,ca,0.5255879163742065,0.5137521624565125,0.49361759424209595,0.4720107913017273,0.45178917050361633,0.44162923097610474
argument,discussion,person_439,argument,discussió,Catalan,RN,ca,0.4241892695426941,0.40969881415367126,0.38860374689102173,0.3683980107307434,0.355108380317688,0.35476624965667725
guy,fella,person_2470,xicot,noi,Catalan,RN,ca,0.679311990737915,0.6234778165817261,0.5480514168739319,0.5106264352798462,0.4910471737384796,0.48147034645080566
went,came,person_2470,anava,venia,Catalan,RV,ca,0.7321411371231079,0.6577076315879822,0.6109225749969482,0.5761339664459229,0.551633358001709,0.5327784419059753
ticket,entrance,person_2470,bitllet,entrada,Catalan,RN,ca,0.24874341487884521,0.2301422506570816,0.2082291543483734,0.18909379839897156,0.18839114904403687,0.18823027610778809
say,tell,person_2470,dir,dir,Catalan,RV,ca,0.6465024948120117,0.5864979028701782,0.5321345329284668,0.49925416707992554,0.48385900259017944,0.47163161635398865
is,arrive,person_823,és,arribar,Catalan,RV,ca,0.1386297047138214,0.12735281884670258,0.12325780093669891,0.11587889492511749,0.11279220879077911,0.10734248161315918
assistant,assistance,person_823,assistent,assistència,Catalan,RN,ca,0.2594600319862366,0.22619181871414185,0.2383890002965927,0.2194279432296753,0.20814955234527588,0.20059680938720703
sincerely,faithfully,person_823,sincerament,fidelment,Catalan,RY,ca,0.34077179431915283,0.32544708251953125,0.3217964768409729,0.2979416847229004,0.2894834578037262,0.2768603563308716
campsites,camps,person_823,càmpings,campaments,Catalan,RN,ca,0.3907798230648041,0.3682957887649536,0.33904188871383667,0.3409990668296814,0.3199729919433594,0.3184952139854431
stop,leave,person_884,aturar,deixar,Catalan,RV,ca,0.3084002137184143,0.2867045998573303,0.26213017106056213,0.2712970972061157,0.2746555209159851,0.27825233340263367
looking,waiting,person_884,mirant,espera,Catalan,RV,ca,0.3574908375740051,0.3373270630836487,0.3090245723724365,0.30348336696624756,0.2867039144039154,0.28876131772994995
prize,price,person_884,premi,preu,Catalan,RN,ca,0.18224802613258362,0.18022014200687408,0.16955360770225525,0.16104277968406677,0.15076594054698944,0.14180898666381836
have,make,person_471,han,fer,Catalan,RV,ca,0.24819259345531464,0.28129416704177856,0.3000525236129761,0.3073427379131317,0.3078686594963074,0.29945409297943115
include,introduce,person_1823,inclouen,introduir,Catalan,RV,ca,0.2921990752220154,0.2604277729988098,0.24812988936901093,0.23777204751968384,0.22716191411018372,0.22768129408359528
find,search,person_1687,trobar,cerca,Catalan,RV,ca,0.4617542326450348,0.4073985815048218,0.34930431842803955,0.3293357491493225,0.31714528799057007,0.30435407161712646
facts,topics,person_1823,fets,temes,Catalan,RN,ca,0.2570464015007019,0.25144901871681213,0.24171876907348633,0.2310093492269516,0.2200649231672287,0.21206551790237427
attend,join,person_1823,assistir,unir,Catalan,RV,ca,0.3552844524383545,0.3501555323600769,0.3414926528930664,0.33100348711013794,0.31469613313674927,0.31367194652557373
shower,rain,person_2667,dutxa,pluja,Catalan,RN,ca,0.35247257351875305,0.32307571172714233,0.3097069263458252,0.2834564447402954,0.2660258412361145,0.25126588344573975
face,wall,person_2667,cara,paret,Catalan,RN,ca,0.250063955783844,0.2326980084180832,0.22164516150951385,0.20516088604927063,0.19564954936504364,0.18396520614624023
sincerely,faithfully,person_2667,sincerament,fidelment,Catalan,RY,ca,0.34077179431915283,0.32544708251953125,0.3217964768409729,0.2979416847229004,0.2894834578037262,0.2768603563308716
begin,became,person_2667,començar,esdevingué,Catalan,RV,ca,0.23211948573589325,0.22623051702976227,0.2132309228181839,0.20296317338943481,0.19881972670555115,0.19928142428398132
also,besides,person_2667,també,més,Catalan,RY,ca,0.34486445784568787,0.31531423330307007,0.3319351077079773,0.3289177715778351,0.3264038860797882,0.32337242364883423
see,know,person_2667,veure,saber,Catalan,RV,ca,0.6210205554962158,0.5691430568695068,0.534419059753418,0.4976871609687805,0.4785073399543762,0.4648357331752777
organised,done,person_2667,organitzat,fet,Catalan,RV,ca,0.2118625044822693,0.1967991292476654,0.17240466177463531,0.17726103961467743,0.17662566900253296,0.17551174759864807
paid,gave,person_501,pagat,donava,Catalan,RV,ca,0.26883798837661743,0.25891101360321045,0.23003451526165009,0.23197606205940247,0.22148197889328003,0.21813833713531494
trip,travel,person_501,viatge,viatges,Catalan,RN,ca,0.4664924144744873,0.4337632656097412,0.4204699695110321,0.3999059200286865,0.410950243473053,0.4100133180618286
trip,travel,person_501,viatge,viatges,Catalan,RN,ca,0.4664924144744873,0.4337632656097412,0.4204699695110321,0.3999059200286865,0.410950243473053,0.4100133180618286
tea,tee,person_889,tetera,tee,Catalan,RN,ca,0.19187694787979126,0.1891857087612152,0.18270273506641388,0.17073971033096313,0.1686263084411621,0.16334757208824158
would,could,person_889,vols,podria,Catalan,RV,ca,0.7784546613693237,0.6931021809577942,0.6290518045425415,0.6093465089797974,0.5956603288650513,0.5844718217849731
areas,topics,person_889,àrees,temes,Catalan,RN,ca,0.3157534599304199,0.29600661993026733,0.27176153659820557,0.24699389934539795,0.2342103123664856,0.22400948405265808
seen,read,person_889,vist,llegir,Catalan,RV,ca,0.2505989372730255,0.2601696252822876,0.2127416729927063,0.21526110172271729,0.2105042040348053,0.20536580681800842
great,important,person_254,gran,important,Catalan,RJ,ca,0.32081133127212524,0.30734896659851074,0.2504909336566925,0.23092257976531982,0.23144713044166565,0.23222577571868896
attend,join,person_1823,assistir,unir,Catalan,RV,ca,0.3552844524383545,0.3501555323600769,0.3414926528930664,0.33100348711013794,0.31469613313674927,0.31367194652557373
going,doing,person_1823,anant,fent,Catalan,RV,ca,0.6052343845367432,0.536349892616272,0.47416961193084717,0.4468834400177002,0.43313127756118774,0.42716988921165466
talk,communicate,person_1823,parlar,comunicar,Catalan,RV,ca,0.2336423099040985,0.22826680541038513,0.22439301013946533,0.1960052251815796,0.18210765719413757,0.17700441181659698
play,take,person_1687,jugar,prendre,Catalan,RV,ca,0.22337615489959717,0.2168152928352356,0.22220507264137268,0.2001325786113739,0.18556630611419678,0.17733025550842285
clothing,clothes,person_1642,roba,roba,Catalan,RN,ca,0.7538630962371826,0.6983408331871033,0.6255598068237305,0.6017420887947083,0.5731667280197144,0.553666889667511
get,take,person_1687,aconseguir,prendre,Catalan,RV,ca,0.43259361386299133,0.47128599882125854,0.4622259736061096,0.4083731770515442,0.38793325424194336,0.3799085319042206
suggested,published,person_2268,suggerit,publicat,Catalan,RV,ca,0.2584293484687805,0.2546926736831665,0.24392490088939667,0.23683640360832214,0.23222483694553375,0.2194245606660843
